id,name,mobileNumber,emailId,role,createdOn,createdBy,modifiedOn,modifiedBy,status
1,Garwood,807-186-0833,gmucklestone0@utexas.edu,Construction Expeditor,20-04-2024,1,19-06-2024,1,false
2,Lothario,186-662-1613,lcammomile1@sina.com.cn,Supervisor,25-07-2024,2,29-02-2024,2,true
3,Dianna,374-227-3775,dhicks2@ebay.co.uk,Electrician,01-10-2023,3,07-10-2023,3,false
4,Elspeth,486-617-5046,egoymer3@angelfire.com,Architect,19-06-2024,4,24-08-2024,4,true
5,Yulma,810-790-4812,ysams4@nbcnews.com,Construction Foreman,29-10-2023,5,12-01-2024,5,false
6,Alberik,834-783-3526,aasher5@utexas.edu,Supervisor,06-06-2024,6,29-10-2023,6,false
7,Lizzie,253-414-1102,ldaughtrey6@disqus.com,Electrician,18-03-2024,7,01-11-2023,7,true
8,Artemis,587-711-6064,aknappen7@sciencedirect.com,Architect,13-04-2024,8,13-11-2023,8,false
9,Pattie,529-729-5871,pmathey8@alexa.com,Engineer,30-06-2024,9,03-08-2024,9,false
10,Rochelle,135-696-9864,rmapledoore9@unblog.fr,Supervisor,15-06-2024,10,22-02-2024,10,true
11,Darius,888-611-4424,develeigha@photobucket.com,Project Manager,03-03-2024,11,04-04-2024,11,true
12,Kendricks,779-745-1878,kthorpb@irs.gov,Estimator,30-06-2024,12,12-08-2024,12,true
13,Maire,414-508-3705,matwoolc@forbes.com,Construction Worker,12-04-2024,13,05-04-2024,13,false
14,Lawry,493-680-8148,lrawlingsond@thetimes.co.uk,Estimator,31-07-2024,14,19-07-2024,14,true
15,Giulia,144-287-5212,gwildte@craigslist.org,Architect,14-01-2024,15,10-03-2024,15,false
16,Meade,260-801-2894,mshureyf@wufoo.com,Subcontractor,20-07-2024,16,22-05-2024,16,false
17,Darby,722-361-7612,dwendeng@indiegogo.com,Subcontractor,28-09-2023,17,23-02-2024,17,false
18,Debby,987-861-5022,dtremouilleh@meetup.com,Estimator,26-08-2024,18,12-02-2024,18,false
19,Carrol,999-430-9111,cwathelli@epa.gov,Architect,11-05-2024,19,06-02-2024,19,true
20,Kory,927-961-0608,ktebbuttj@privacy.gov.au,Subcontractor,23-05-2024,20,16-12-2023,20,true
21,Abbey,837-266-3234,acaulketk@cornell.edu,Subcontractor,29-10-2023,21,14-02-2024,21,false
22,Paulo,143-291-6860,pshaull@icq.com,Subcontractor,18-11-2023,22,26-01-2024,22,false
23,Shaughn,826-544-2866,sfriarym@tmall.com,Architect,27-09-2023,23,10-01-2024,23,false
24,Kane,837-562-2622,kwattamn@sfgate.com,Estimator,11-01-2024,24,01-03-2024,24,false
25,Paola,932-771-0908,pvanyakino@buzzfeed.com,Subcontractor,26-05-2024,25,13-11-2023,25,true
26,Donavon,293-368-8848,dtrimmingp@uiuc.edu,Subcontractor,24-07-2024,26,24-08-2024,26,true
27,Eve,238-119-9145,earnaldiq@csmonitor.com,Subcontractor,24-07-2024,27,07-06-2024,27,false
28,Obediah,974-970-1197,omccurlyer@ebay.co.uk,Estimator,15-09-2023,28,18-06-2024,28,true
29,Henderson,912-975-0807,hmowetts@github.io,Construction Manager,25-02-2024,29,02-09-2024,29,true
30,Brendis,408-286-2542,bsteptowt@mozilla.com,Project Manager,23-06-2024,30,14-11-2023,30,true
31,Amble,656-318-5418,apontonu@auda.org.au,Construction Manager,25-11-2023,31,15-05-2024,31,true
32,Lena,947-225-3523,lairsv@ibm.com,Engineer,28-03-2024,32,24-12-2023,32,true
33,Giustino,440-403-8003,gculverw@washingtonpost.com,Estimator,14-03-2024,33,29-01-2024,33,false
34,Cooper,662-924-9031,cmeugensx@dion.ne.jp,Surveyor,05-10-2023,34,17-09-2023,34,true
35,Henka,580-690-3939,hmacconchiey@chron.com,Architect,05-01-2024,35,03-12-2023,35,false
36,Deborah,978-341-8855,ddanielskyz@auda.org.au,Construction Manager,03-02-2024,36,01-10-2023,36,false
37,Sharleen,262-541-6555,skemm10@rambler.ru,Project Manager,08-11-2023,37,16-06-2024,37,true
38,Zack,282-115-5407,zsoppit11@yahoo.co.jp,Supervisor,23-12-2023,38,16-08-2024,38,false
39,Fanchon,847-181-4412,fbliven12@jimdo.com,Engineer,14-03-2024,39,31-01-2024,39,true
40,Tod,507-467-4193,tstimpson13@dion.ne.jp,Subcontractor,21-10-2023,40,10-11-2023,40,true
41,Kilian,121-211-7231,kivancevic14@tripod.com,Electrician,04-10-2023,41,28-11-2023,41,false
42,Anissa,483-364-0013,aschwandt15@bizjournals.com,Architect,20-12-2023,42,03-06-2024,42,true
